code,line_item,period_end,measure,value,asOf
2265,Management fee paid to the fund management company/Average NAV (%),2021-09-30,month,0.0118365217207066,2021-11-01
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2021-09-30,month,0.001515732061294377,2021-11-01
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2021-09-30,month,0.000386986638580303,2021-11-01
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2021-09-30,month,0.0014750042400943,2021-11-01
2269,Expense/Average NAV (%),2021-09-30,month,0.0185637578630786,2021-11-01
2270,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2021-09-30,month,2.03818382203615,2021-11-01
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2021-09-30,month,230519640500,2021-11-01
2274,Total value of outstanding Fund Certificate at the beginning of period,2021-09-30,month,230519640500,2021-11-01
2275,Total number of outstanding Fund Certificate at the beginning of period,2021-09-30,month,23051964.05,2021-11-01
2276,Change of Fund scale during the period (based on par value of fund certificate),2021-09-30,month,60800418000,2021-11-01
2277,Number of Fund Certificates subscribed during the period,2021-09-30,month,6183610.82,2021-11-01
2278,Net subscription amount during the period (based on par value),2021-09-30,month,61836108200,2021-11-01
2279,Fund scale at the end of the period (based on par value),2021-09-30,month,291320058500,2021-11-01
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2021-09-30,month,291320058500,2021-11-01
2281,Total number of outstanding Fund Certificate at the end of the period,2021-09-30,month,29132005.85,2021-11-01
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2021-09-30,month,0.91707606326737,2021-11-01
2283,Top 10 investors' ownership ratio at the end of the period,2021-09-30,month,0.9815,2021-11-01
2284,Foreign investors' ownership ratio at the end of the period,2021-09-30,month,0.0002,2021-11-01
2285,Net asset value per Fund Certificate at the end of period,2021-09-30,month,9467.25,2021-11-01
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2021-09-30,month,0.0024343333696377856,2021-11-01
22761,Change of Number of Fund Certificates during the period,2021-09-30,month,6080041.8,2021-11-01
22762,Change in capital amount during the period (based on par value),2021-09-30,month,60800418000,2021-11-01
22781,Number of Fund Certificates redeemed during the period,2021-09-30,month,-103569.02,2021-11-01
22782,Net redemption amount during the period (based on par value),2021-09-30,month,-1035690200,2021-11-01
22841,Number of investors of the Fund at the end of the period,2021-09-30,month,226,2021-11-01
2265,Management fee paid to the fund management company/Average NAV (%),2021-10-31,month,0.0122311001741866,2021-12-01
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2021-10-31,month,0.0013077425404198384,2021-12-01
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2021-10-31,month,0.000404046469975495,2021-12-01
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2021-10-31,month,0.00042861654907972,2021-12-01
2269,Expense/Average NAV (%),2021-10-31,month,0.0164900153716141,2021-12-01
2270,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2021-10-31,month,0,2021-12-01
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2021-10-31,month,291320058500,2021-12-01
2274,Total value of outstanding Fund Certificate at the beginning of period,2021-10-31,month,291320058500,2021-12-01
2275,Total number of outstanding Fund Certificate at the beginning of period,2021-10-31,month,29132005.85,2021-12-01
2276,Change of Fund scale during the period (based on par value of fund certificate),2021-10-31,month,-8361432200,2021-12-01
2277,Number of Fund Certificates subscribed during the period,2021-10-31,month,148695.57,2021-12-01
2278,Net subscription amount during the period (based on par value),2021-10-31,month,1486955700,2021-12-01
2279,Fund scale at the end of the period (based on par value),2021-10-31,month,282958626300,2021-12-01
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2021-10-31,month,282958626300,2021-12-01
2281,Total number of outstanding Fund Certificate at the end of the period,2021-10-31,month,28295862.63,2021-12-01
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2021-10-31,month,0.944179210556197,2021-12-01
2283,Top 10 investors' ownership ratio at the end of the period,2021-10-31,month,0.9816,2021-12-01
2284,Foreign investors' ownership ratio at the end of the period,2021-10-31,month,0.0002,2021-12-01
2285,Net asset value per Fund Certificate at the end of period,2021-10-31,month,9502.6,2021-12-01
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2021-10-31,month,0.0021232629058731147,2021-12-01
22761,Change of Number of Fund Certificates during the period,2021-10-31,month,-836143.22,2021-12-01
22762,Change in capital amount during the period (based on par value),2021-10-31,month,-8361432200,2021-12-01
22781,Number of Fund Certificates redeemed during the period,2021-10-31,month,-984838.79,2021-12-01
22782,Net redemption amount during the period (based on par value),2021-10-31,month,-9848387900,2021-12-01
22841,Number of investors of the Fund at the end of the period,2021-10-31,month,268,2021-12-01
2265,Management fee paid to the fund management company/Average NAV (%),2021-11-30,month,0.0118364760943747,2022-01-05
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2021-11-30,month,0.00134599196274252,2022-01-05
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2021-11-30,month,0.000341945631743169,2022-01-05
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2021-11-30,month,0.000433441048376168,2022-01-05
2269,Expense/Average NAV (%),2021-11-30,month,0.0168164438125414,2022-01-05
2270,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2021-11-30,month,1.14627053866006,2022-01-05
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2021-11-30,month,282958626300,2022-01-05
2274,Total value of outstanding Fund Certificate at the beginning of period,2021-11-30,month,282958626300,2022-01-05
2275,Total number of outstanding Fund Certificate at the beginning of period,2021-11-30,month,28295862.63,2022-01-05
2276,Change of Fund scale during the period (based on par value of fund certificate),2021-11-30,month,395252000,2022-01-05
2277,Number of Fund Certificates subscribed during the period,2021-11-30,month,343369.24,2022-01-05
2278,Net subscription amount during the period (based on par value),2021-11-30,month,3433692400,2022-01-05
2279,Fund scale at the end of the period (based on par value),2021-11-30,month,283353878300,2022-01-05
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2021-11-30,month,283353878300,2022-01-05
2281,Total number of outstanding Fund Certificate at the end of the period,2021-11-30,month,28335387.83,2022-01-05
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2021-11-30,month,0.942884362490125,2022-01-05
2283,Top 10 investors' ownership ratio at the end of the period,2021-11-30,month,0.9789,2022-01-05
2284,Foreign investors' ownership ratio at the end of the period,2021-11-30,month,0.0002,2022-01-05
2285,Net asset value per Fund Certificate at the end of period,2021-11-30,month,9567.22,2022-01-05
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2021-11-30,month,0.00215142576651729,2022-01-05
22761,Change of Number of Fund Certificates during the period,2021-11-30,month,39525.2,2022-01-05
22762,Change in capital amount during the period (based on par value),2021-11-30,month,395252000,2022-01-05
22781,Number of Fund Certificates redeemed during the period,2021-11-30,month,-303844.04,2022-01-05
22782,Net redemption amount during the period (based on par value),2021-11-30,month,-3038440400,2022-01-05
22841,Number of investors of the Fund at the end of the period,2021-11-30,month,312,2022-01-05
2265,Management fee paid to the fund management company/Average NAV (%),2021-12-31,month,0.0122310062677309,2022-02-08
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2021-12-31,month,0.00137114827759378,2022-02-08
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2021-12-31,month,0.00035084288305573,2022-02-08
