code,line_item,period_end,measure,value,asOf
2234,Gain / (Loss) from Investment Activities,2021-06-30,ytd,2270542184,2021-07-02
2235,Realised Gain / (Loss) from disposal of investment or real estate transfer,2021-06-30,month,0,2021-08-03
2235,Realised Gain / (Loss) from disposal of investment or real estate transfer,2021-06-30,ytd,3284528478,2021-07-02
2236,Unrealised Gain / (Loss) due to market price,2021-06-30,month,-128000000,2021-08-03
2236,Unrealised Gain / (Loss) due to market price,2021-06-30,ytd,-1013986294,2021-07-02
2237,Change of Net Asset Value of the Fund due to investment activities during the period (= III + IV),2021-06-30,month,4526902301,2021-08-03
2237,Change of Net Asset Value of the Fund due to investment activities during the period (= III + IV),2021-06-30,ytd,31748049732,2021-07-02
2238,Net Asset Value at the beginning of period,2021-06-30,month,827080827730,2021-08-03
2238,Net Asset Value at the beginning of period,2021-06-30,ytd,905690985301,2021-07-02
2239.1,Change of Net Asset Value due to investment activities during the period,2021-06-30,month,4526902301,2021-08-03
2239.1,Change of Net Asset Value due to investment activities during the period,2021-06-30,ytd,31748049732,2021-07-02
2239.2,Change of Net Asset Value due to  dividends payment to investors during the period,2021-06-30,month,0,2021-08-03
2239.2,Change of Net Asset Value due to  dividends payment to investors during the period,2021-06-30,ytd,0,2021-07-02
2239.3,Change of Net Asset Value due to subscription/redemption during the period,2021-06-30,month,-15963400468,2021-08-03
2239.3,Change of Net Asset Value due to subscription/redemption during the period,2021-06-30,ytd,-121794705470,2021-07-02
2239.3.1,Change of Net Asset Value due to subscription during the period,2021-06-30,month,38632433532,2021-08-03
2239.3.1,Change of Net Asset Value due to subscription during the period,2021-06-30,ytd,231951419332,2021-07-02
2239.3.2,Change of Net Asset Value due to redemption during the period,2021-06-30,month,-54595834000,2021-08-03
2239.3.2,Change of Net Asset Value due to redemption during the period,2021-06-30,ytd,-353746124802,2021-07-02
2243,Net Asset Value at the end of period,2021-06-30,month,815644329563,2021-08-03
2243,Net Asset Value at the end of period,2021-06-30,ytd,815644329563,2021-07-02
2244,Average annual profit (only applicable to annual report),2021-06-30,month,0,2021-08-03
2244,Average annual profit (only applicable to annual report),2021-06-30,ytd,0,2021-07-02
2245,Average annual rate of return (only applicable to annual report),2021-06-30,month,0,2021-08-03
2245,Average annual rate of return (only applicable to annual report),2021-06-30,ytd,0,2021-07-02
,Change of Net Asset Value of the Fund during the period,2021-07-31,month,38503989130,2021-09-06
,Change of Net Asset Value of the Fund during the period,2021-07-31,ytd,-51542666608,2021-08-03
,Other Expenses,2021-07-31,month,0,2021-09-06
,Other Expenses,2021-07-31,month,5000000,2021-09-06
,Other Expenses,2021-07-31,ytd,0,2021-08-03
,Other Expenses,2021-07-31,ytd,30000000,2021-08-03
,Other incomes,2021-07-31,month,0,2021-09-06
,Other incomes,2021-07-31,ytd,0,2021-08-03
2220,Income from Investment Activities,2021-07-31,month,5728346538,2021-09-06
2220,Income from Investment Activities,2021-07-31,ytd,40959486034,2021-08-03
2221,"Dividend income, interest income from bonds",2021-07-31,month,2808514807,2021-09-06
2221,"Dividend income, interest income from bonds",2021-07-31,ytd,20468335961,2021-08-03
2221.1,Dividends income,2021-07-31,month,0,2021-09-06
2221.1,Dividends income,2021-07-31,ytd,0,2021-08-03
2221.2,Interest income from bonds,2021-07-31,month,2808514807,2021-09-06
2221.2,Interest income from bonds,2021-07-31,ytd,20468335961,2021-08-03
2222,Interest income,2021-07-31,month,2919831731,2021-09-06
2222,Interest income,2021-07-31,ytd,20491150073,2021-08-03
2222.1,Interest income from bank deposits,2021-07-31,month,280205704,2021-09-06
2222.1,Interest income from bank deposits,2021-07-31,ytd,2477092540,2021-08-03
2222.2,Interest income from Certificates of Deposit,2021-07-31,month,2639626027,2021-09-06
2222.2,Interest income from Certificates of Deposit,2021-07-31,ytd,18014057533,2021-08-03
2222.3,Interest income from reverse repo contracts,2021-07-31,month,0,2021-09-06
2222.3,Interest income from reverse repo contracts,2021-07-31,ytd,0,2021-08-03
2223.1,Other investment incomes,2021-07-31,month,0,2021-09-06
2223.1,Other investment incomes,2021-07-31,ytd,0,2021-08-03
2223.3,"Provision expense for bad debts from dividends, interest income and written off bad debts from dividends, interest income",2021-07-31,month,0,2021-09-06
2223.3,"Provision expense for bad debts from dividends, interest income and written off bad debts from dividends, interest income",2021-07-31,ytd,0,2021-08-03
2224,Expenses,2021-07-31,month,977658881,2021-09-06
2224,Expenses,2021-07-31,ytd,6731290829,2021-08-03
2225,Management Fee paid to Fund Management Company,2021-07-31,month,854837735,2021-09-06
2225,Management Fee paid to Fund Management Company,2021-07-31,ytd,5706903187,2021-08-03
2226,"Custody fee, Supervising fee paid to Supervising Bank/VSD",2021-07-31,month,60545640,2021-09-06
2226,"Custody fee, Supervising fee paid to Supervising Bank/VSD",2021-07-31,ytd,448944780,2021-08-03
2226.1,Custodian service - Safe Custody Fee,2021-07-31,month,28494590,2021-09-06
2226.1,Custodian service - Safe Custody Fee,2021-07-31,ytd,210370752,2021-08-03
2226.2,Custodian service - Transaction fee,2021-07-31,month,200000,2021-09-06
2226.2,Custodian service - Transaction fee,2021-07-31,ytd,3400000,2021-08-03
2226.3,"Custodian service -  Depository fee, Position and Margin management fee paid to VSD",2021-07-31,month,507000,2021-09-06
2226.3,"Custodian service -  Depository fee, Position and Margin management fee paid to VSD",2021-07-31,ytd,3766200,2021-08-03
2226.4,Supervisory fee,2021-07-31,month,31344050,2021-09-06
2226.4,Supervisory fee,2021-07-31,ytd,231407828,2021-08-03
2227,"Fund Administration Fee, and other fees paid to relevant Fund's service providers",2021-07-31,month,34508038,2021-09-06
